Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Thermal Technology Product 001,399.1,5.1,3.9,3.2,True,ShelfArea2,Medium,2025-07-01
Thermal Technology Product 002,60.5,2.5,4.4,4.8,False,LoadingDock1,Medium,2025-07-02
Thermal Technology Product 003,368.8,12.1,4.6,2.2,True,LoadingDock5,High,2025-07-03
Thermal Technology Product 004,130.7,8.9,0.4,5.1,True,ShelfArea5,Low,2025-07-04
Thermal Technology Product 005,49.4,6.6,5.4,0.6,False,SectionH,Medium,2025-07-05
Thermal Technology Product 006,82.0,12.2,1.7,1.0,True,BulkItems,Medium,2025-07-06
Thermal Technology Product 007,294.2,4.2,4.1,2.2,False,Priority2,Medium,2025-07-07
Thermal Technology Product 008,646.8,3.6,2.3,1.2,False,ManualStorage1,High,2025-07-08
Thermal Technology Product 009,714.9,2.5,1.3,5.0,True,Basement5,Low,2025-07-09
Thermal Technology Product 010,175.8,6.1,0.3,2.0,True,StandardLane,High,2025-07-10
Thermal Technology Product 011,433.2,0.5,2.5,2.9,True,Seasonal,Low,2025-07-11
Thermal Technology Product 012,65.9,8.8,3.4,1.5,True,ShelfArea2,Medium,2025-07-12
Thermal Technology Product 013,12.2,9.8,3.5,2.3,False,ShelfArea3,Medium,2025-07-13
Thermal Technology Product 014,62.4,8.1,6.1,5.1,False,AutomatedStorage5,High,2025-07-14
Thermal Technology Product 015,199.7,10.3,2.1,3.3,True,Rack4,High,2025-07-15
Thermal Technology Product 016,194.7,9.4,5.0,1.0,False,QualityControl,High,2025-07-16
Thermal Technology Product 017,394.4,9.8,1.9,1.7,True,Mezzanine4,Low,2025-07-17
Thermal Technology Product 018,121.7,6.6,2.7,2.2,True,Floor3,Medium,2025-07-18
Thermal Technology Product 019,394.5,7.8,2.0,2.6,True,SectionA,Medium,2025-07-19
Thermal Technology Product 020,322.5,7.1,6.3,0.8,False,AutomatedStorage2,Medium,2025-07-20
Thermal Technology Product 021,99.0,12.1,5.5,1.0,False,ShippingArea,Medium,2025-07-21
Thermal Technology Product 022,121.0,5.1,0.4,4.6,True,Floor5,Low,2025-07-22
Thermal Technology Product 023,174.2,10.4,5.5,1.9,False,PalletArea1,Medium,2025-07-23
Thermal Technology Product 024,508.4,2.3,1.6,3.4,False,Floor5,Low,2025-07-24
Thermal Technology Product 025,367.3,1.8,7.1,5.0,True,Rack6,Medium,2025-07-25
Thermal Technology Product 026,841.7,9.4,4.8,3.2,False,StandardLane,Low,2025-07-26
Thermal Technology Product 027,333.7,6.5,3.6,2.5,False,FragileItems,High,2025-07-27
Thermal Technology Product 028,561.2,2.7,3.5,3.2,True,Priority3,Low,2025-07-28
Thermal Technology Product 029,785.4,4.9,0.6,1.4,False,Basement2,High,2025-07-29
Thermal Technology Product 030,484.0,1.3,7.6,1.0,True,Floor4,Low,2025-07-30
Thermal Technology Product 031,496.0,10.0,7.9,1.1,True,Rack10,Low,2025-07-01
Thermal Technology Product 032,456.7,9.5,0.7,3.6,True,SectionC,High,2025-07-02
Thermal Technology Product 033,52.2,0.7,6.2,3.3,False,LoadingDock1,High,2025-07-03
Thermal Technology Product 034,297.3,0.9,4.4,4.4,False,ManualStorage2,High,2025-07-04
Thermal Technology Product 035,287.9,1.8,1.0,2.1,False,Seasonal,Low,2025-07-05
Thermal Technology Product 036,438.9,0.5,6.0,1.9,False,AutomatedStorage2,Medium,2025-07-06
Thermal Technology Product 037,427.2,1.2,4.3,4.4,True,Floor4,High,2025-07-07
Thermal Technology Product 038,327.6,9.0,2.9,4.2,False,Basement1,Medium,2025-07-08
Thermal Technology Product 039,848.9,0.5,3.8,0.6,False,AutomatedStorage3,Medium,2025-07-09
Thermal Technology Product 040,273.5,5.9,5.4,1.8,True,Floor5,High,2025-07-10
Thermal Technology Product 041,10.4,8.9,4.1,1.0,True,ManualStorage1,Medium,2025-07-11
Thermal Technology Product 042,190.4,3.4,6.7,2.6,True,ReceivingArea,Low,2025-07-12
Thermal Technology Product 043,29.1,9.0,5.4,3.3,False,PalletArea3,High,2025-07-13
Thermal Technology Product 044,33.9,0.6,0.7,2.4,False,SectionD,Low,2025-07-14
Thermal Technology Product 045,673.8,5.5,5.7,4.5,True,LoadingDock5,Medium,2025-07-15
Thermal Technology Product 046,258.4,12.9,0.9,3.9,True,Aisle10,Low,2025-07-16
Thermal Technology Product 047,430.1,15.8,1.6,3.1,True,ManualStorage1,High,2025-07-17
Thermal Technology Product 048,339.5,10.2,1.2,2.1,True,FragileItems,Medium,2025-07-18
Thermal Technology Product 049,349.7,4.7,2.5,1.4,False,SmallItems,Medium,2025-07-19
Thermal Technology Product 050,89.2,1.5,4.3,4.4,True,ZoneC,Medium,2025-07-20
Thermal Technology Product 051,11.4,4.4,3.0,4.1,False,Rack10,Low,2025-07-21
Thermal Technology Product 052,125.3,2.3,3.2,2.7,False,ShelfArea2,Medium,2025-07-22
Thermal Technology Product 053,158.0,6.6,4.8,0.2,True,HighBay1,Medium,2025-07-23
Thermal Technology Product 054,27.8,7.9,7.7,3.5,False,HighBay2,Medium,2025-07-24
Thermal Technology Product 055,229.6,3.2,1.5,2.2,True,ManualStorage1,High,2025-07-25
Thermal Technology Product 056,618.6,8.6,1.4,0.7,True,Rack5,Medium,2025-07-26
Thermal Technology Product 057,256.9,1.3,5.2,0.7,True,Floor5,Low,2025-07-27
Thermal Technology Product 058,114.3,4.2,6.2,0.8,True,Priority5,Low,2025-07-28
Thermal Technology Product 059,231.9,10.0,4.1,2.2,False,Basement5,High,2025-07-29
Thermal Technology Product 060,717.0,14.2,4.7,0.7,False,SectionA,Medium,2025-07-30
Thermal Technology Product 061,6.0,12.6,4.1,3.1,True,ShelfArea2,Medium,2025-07-01
Thermal Technology Product 062,464.5,10.5,5.8,3.1,True,SectionC,Medium,2025-07-02
Thermal Technology Product 063,341.5,6.7,0.9,4.2,False,PalletArea1,Low,2025-07-03
Thermal Technology Product 064,185.8,10.5,1.7,1.8,True,Mezzanine3,High,2025-07-04
Thermal Technology Product 065,177.4,6.2,4.8,2.8,True,Basement1,High,2025-07-05
Thermal Technology Product 066,455.3,4.2,2.7,1.1,False,Basement3,Low,2025-07-06
Thermal Technology Product 067,187.4,5.7,4.8,0.9,True,ZoneB,Medium,2025-07-07
Thermal Technology Product 068,237.7,10.8,1.8,1.2,True,Aisle9,High,2025-07-08
Thermal Technology Product 069,802.6,8.2,3.3,0.3,True,LightItems,Low,2025-07-09
Thermal Technology Product 070,721.6,2.9,6.7,0.4,True,Mezzanine1,Medium,2025-07-10
Thermal Technology Product 071,291.9,2.8,5.5,5.8,True,Basement5,Low,2025-07-11
Thermal Technology Product 072,71.5,6.0,2.6,3.9,True,SlowMoving,Medium,2025-07-12
Thermal Technology Product 073,127.5,5.6,3.8,1.8,False,Seasonal,Low,2025-07-13
Thermal Technology Product 074,562.3,3.5,2.5,3.6,True,DryStorage,High,2025-07-14
Thermal Technology Product 075,407.9,0.6,2.8,1.3,True,HazardousStorage,Low,2025-07-15
Thermal Technology Product 076,215.5,0.8,7.9,1.7,True,Mezzanine1,Low,2025-07-16
Thermal Technology Product 077,122.2,2.1,3.0,1.8,False,Basement5,Low,2025-07-17
Thermal Technology Product 078,179.3,6.5,3.1,1.0,False,PalletArea4,High,2025-07-18
Thermal Technology Product 079,101.1,1.2,1.3,1.8,True,SectionF,Low,2025-07-19
Thermal Technology Product 080,740.7,1.8,2.9,4.1,True,ShelfArea5,Medium,2025-07-20
Thermal Technology Product 081,490.3,11.8,2.0,0.5,True,ZoneE,Medium,2025-07-21
Thermal Technology Product 082,682.7,3.1,3.2,0.8,False,ReturnsArea,High,2025-07-22
Thermal Technology Product 083,546.6,14.7,5.1,3.6,False,Basement4,Low,2025-07-23
Thermal Technology Product 084,436.4,3.0,4.8,1.5,False,Rack6,Low,2025-07-24
Thermal Technology Product 085,608.3,4.8,0.6,2.3,False,LargeItems,High,2025-07-25
Thermal Technology Product 086,443.8,13.4,1.9,3.7,True,Rack6,Low,2025-07-26
Thermal Technology Product 087,90.5,0.7,2.7,0.9,True,AutomatedStorage4,Medium,2025-07-27
Thermal Technology Product 088,470.6,8.7,6.2,1.3,True,PalletArea1,Medium,2025-07-28
Thermal Technology Product 089,239.0,8.7,0.5,2.1,True,AutomatedStorage3,High,2025-07-29
Thermal Technology Product 090,425.4,6.8,0.7,4.9,False,LightItems,Medium,2025-07-30
Thermal Technology Product 091,439.4,0.9,4.6,4.8,False,Aisle1,Medium,2025-07-01
Thermal Technology Product 092,286.3,9.5,5.8,1.5,True,ShelfArea1,High,2025-07-02
Thermal Technology Product 093,312.2,6.8,4.2,1.7,False,ShelfArea3,High,2025-07-03
Thermal Technology Product 094,284.3,1.3,6.2,0.3,True,ShelfArea1,High,2025-07-04
Thermal Technology Product 095,546.8,0.7,4.0,4.4,True,Aisle5,Medium,2025-07-05
Thermal Technology Product 096,124.6,10.1,5.9,0.5,True,Aisle8,Low,2025-07-06
Thermal Technology Product 097,629.4,7.2,2.5,4.8,False,ShelfArea4,High,2025-07-07
Thermal Technology Product 098,506.6,9.2,1.6,5.4,False,EconomyLane,Low,2025-07-08
Thermal Technology Product 099,505.4,8.4,4.3,1.6,False,ZoneD,Low,2025-07-09
Thermal Technology Product 100,532.8,8.1,4.5,2.2,False,ZoneF,High,2025-07-10
