Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Shipbuilding Product 001,422.0,8.3,2.4,1.1,True,AutomatedStorage2,Low,2025-06-01
Shipbuilding Product 002,300.3,6.3,4.6,6.3,False,BulkItems,Low,2025-06-02
Shipbuilding Product 003,345.0,7.1,1.1,2.4,True,Priority1,High,2025-06-03
Shipbuilding Product 004,212.1,1.1,4.9,1.3,True,LoadingDock4,Medium,2025-06-04
Shipbuilding Product 005,82.0,6.1,3.6,3.6,False,HeavyItems,High,2025-06-05
Shipbuilding Product 006,304.9,9.1,2.5,1.4,False,Floor2,Medium,2025-06-06
Shipbuilding Product 007,242.1,9.3,2.1,2.1,True,Priority5,Low,2025-06-07
Shipbuilding Product 008,64.4,16.2,2.9,2.2,True,Rack5,High,2025-06-08
Shipbuilding Product 009,525.3,9.6,0.5,3.5,True,AutomatedStorage5,Low,2025-06-09
Shipbuilding Product 010,296.3,0.9,6.7,0.5,True,FastMoving,Medium,2025-06-10
Shipbuilding Product 011,459.9,11.2,0.8,2.1,False,ZoneH,Medium,2025-06-11
Shipbuilding Product 012,681.6,3.3,5.9,0.8,True,PalletArea4,Low,2025-06-12
Shipbuilding Product 013,357.0,6.2,4.4,0.3,True,HighBay5,Medium,2025-06-13
Shipbuilding Product 014,671.6,5.9,8.0,0.6,False,HighBay3,High,2025-06-14
Shipbuilding Product 015,532.2,6.0,4.0,3.6,True,PalletArea4,High,2025-06-15
Shipbuilding Product 016,56.8,13.5,3.2,3.1,True,ShelfArea2,Low,2025-06-16
Shipbuilding Product 017,150.5,3.8,5.3,1.1,True,ManualStorage1,High,2025-06-17
Shipbuilding Product 018,288.3,11.6,2.6,0.6,True,DryStorage,Medium,2025-06-18
Shipbuilding Product 019,58.4,12.2,1.5,4.3,True,Rack2,Low,2025-06-19
Shipbuilding Product 020,61.8,1.2,3.2,2.3,True,AutomatedStorage5,Low,2025-06-20
Shipbuilding Product 021,797.8,4.9,0.5,2.7,True,Rack2,Medium,2025-06-21
Shipbuilding Product 022,613.7,1.3,0.6,0.7,True,Rack5,Low,2025-06-22
Shipbuilding Product 023,451.7,3.5,0.8,0.2,False,LightItems,Low,2025-06-23
Shipbuilding Product 024,505.1,7.9,5.2,1.7,True,ZoneJ,Medium,2025-06-24
Shipbuilding Product 025,385.0,7.6,4.7,0.8,False,PalletArea1,Medium,2025-06-25
Shipbuilding Product 026,289.6,9.2,0.5,4.3,True,Rack4,High,2025-06-26
Shipbuilding Product 027,188.1,1.9,4.7,1.6,False,Basement5,Low,2025-06-27
Shipbuilding Product 028,454.7,12.0,3.7,1.6,True,Rack1,Low,2025-06-28
Shipbuilding Product 029,204.1,2.2,2.9,2.2,True,OverflowLane,High,2025-06-29
Shipbuilding Product 030,251.5,8.9,4.3,1.4,False,Mezzanine1,Low,2025-06-30
Shipbuilding Product 031,314.9,13.9,4.3,4.4,False,ShelfArea4,Medium,2025-06-01
Shipbuilding Product 032,22.8,7.2,4.5,1.2,True,Rack3,Medium,2025-06-02
Shipbuilding Product 033,67.6,7.3,1.5,0.9,True,Rack2,High,2025-06-03
Shipbuilding Product 034,359.1,7.6,1.1,3.5,True,MediumItems,High,2025-06-04
Shipbuilding Product 035,426.3,10.2,4.4,3.2,True,HighBay1,Medium,2025-06-05
Shipbuilding Product 036,358.9,2.1,0.7,3.7,True,Rack8,High,2025-06-06
Shipbuilding Product 037,411.6,7.3,4.5,1.6,False,Priority4,Low,2025-06-07
Shipbuilding Product 038,1.7,7.1,6.9,4.3,False,PalletArea1,High,2025-06-08
Shipbuilding Product 039,785.8,3.0,5.7,1.9,True,AutomatedStorage1,Low,2025-06-09
Shipbuilding Product 040,559.3,9.9,1.8,0.4,True,Mezzanine1,Medium,2025-06-10
Shipbuilding Product 041,204.9,7.4,2.6,4.1,False,Aisle10,High,2025-06-11
Shipbuilding Product 042,501.2,7.7,3.3,4.3,True,AutomatedStorage3,Low,2025-06-12
Shipbuilding Product 043,308.5,9.8,1.9,5.1,True,Rack1,Low,2025-06-13
Shipbuilding Product 044,538.7,11.9,4.4,0.5,False,HighBay2,High,2025-06-14
Shipbuilding Product 045,504.3,7.5,0.5,2.6,True,SectionF,High,2025-06-15
Shipbuilding Product 046,349.4,7.4,3.6,3.0,False,LoadingDock1,Low,2025-06-16
Shipbuilding Product 047,563.3,0.4,5.2,4.4,False,PalletArea3,Medium,2025-06-17
Shipbuilding Product 048,23.9,11.2,6.1,0.6,True,Mezzanine5,Low,2025-06-18
Shipbuilding Product 049,63.2,13.8,3.9,3.7,False,PalletArea5,High,2025-06-19
Shipbuilding Product 050,136.7,0.5,2.7,1.1,True,AutomatedStorage3,High,2025-06-20
Shipbuilding Product 051,233.3,6.8,2.0,2.8,True,Priority2,High,2025-06-21
Shipbuilding Product 052,95.0,9.0,5.5,2.5,False,ShelfArea3,High,2025-06-22
Shipbuilding Product 053,566.1,12.4,1.2,2.3,True,AutomatedStorage4,Medium,2025-06-23
Shipbuilding Product 054,13.1,8.9,5.5,5.1,False,Priority2,Medium,2025-06-24
Shipbuilding Product 055,21.6,13.1,2.2,4.6,True,SlowMoving,Low,2025-06-25
Shipbuilding Product 056,293.8,3.3,1.9,3.4,False,Aisle7,Low,2025-06-26
Shipbuilding Product 057,348.5,8.1,1.9,1.6,True,SectionA,High,2025-06-27
Shipbuilding Product 058,565.5,15.4,0.7,2.2,True,Mezzanine2,Medium,2025-06-28
Shipbuilding Product 059,532.7,1.6,4.6,2.5,False,OverflowLane,High,2025-06-29
Shipbuilding Product 060,433.4,3.2,1.2,4.4,False,Aisle8,High,2025-06-30
Shipbuilding Product 061,194.3,5.3,6.5,1.4,False,Aisle10,Low,2025-06-01
Shipbuilding Product 062,394.4,10.0,8.3,3.0,True,EconomyLane,Medium,2025-06-02
Shipbuilding Product 063,185.7,8.3,5.2,1.7,False,AutomatedStorage2,Low,2025-06-03
Shipbuilding Product 064,162.7,15.7,1.5,0.5,True,HighBay1,Low,2025-06-04
Shipbuilding Product 065,451.4,3.1,1.3,1.4,True,SectionA,High,2025-06-05
Shipbuilding Product 066,392.9,3.0,4.4,0.8,True,ManualStorage1,Medium,2025-06-06
Shipbuilding Product 067,297.0,6.8,6.1,3.5,True,Aisle9,Medium,2025-06-07
Shipbuilding Product 068,470.4,0.7,4.7,3.1,True,Floor2,Medium,2025-06-08
Shipbuilding Product 069,286.5,9.1,6.6,4.1,True,Mezzanine3,Medium,2025-06-09
Shipbuilding Product 070,348.8,6.6,2.6,2.6,True,Aisle1,Low,2025-06-10
Shipbuilding Product 071,166.0,1.0,4.1,0.6,True,Priority4,High,2025-06-11
