Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Laptop - Variant 001,4.0,0.9,0.8,0.1,True,Aisle8,High,2025-02-04
Laptop - Variant 002,6.6,1.2,0.8,0.1,False,HazardousStorage,Low,2024-12-23
Laptop - Variant 003,3.9,1.1,0.7,0.1,True,ManualStorage4,High,2025-01-16
Laptop - Variant 004,6.1,1.2,0.9,0.1,True,ManualStorage2,Low,2025-01-03
Laptop - Variant 005,7.1,1.2,0.7,0.1,True,SlowMoving,High,2025-02-01
Laptop - Variant 006,6.2,1.2,0.8,0.1,True,LoadingDock1,High,2025-01-24
Laptop - Variant 007,4.2,1.1,0.8,0.1,True,Rack9,Medium,2025-01-13
Laptop - Variant 008,6.2,1.3,0.8,0.1,False,QualityControl,Medium,2025-02-06
Laptop - Variant 009,4.2,1.0,0.9,0.1,False,Priority3,Low,2025-01-31
Laptop - Variant 010,6.6,1.3,0.6,0.1,True,Mezzanine3,Low,2025-01-29
Laptop - Variant 011,6.5,1.1,0.7,0.1,True,LargeItems,High,2025-01-19
Laptop - Variant 012,4.7,0.9,0.8,0.1,False,Aisle3,Medium,2025-02-05
Laptop - Variant 013,5.9,1.3,0.7,0.1,False,OverflowStorage,High,2025-01-23
Laptop - Variant 014,5.0,1.3,0.9,0.1,True,StandardLane,High,2024-12-29
Laptop - Variant 015,4.0,1.3,0.8,0.1,False,Seasonal,High,2025-02-04
Laptop - Variant 016,7.0,1.2,0.7,0.1,False,Rack6,Low,2025-01-22
Laptop - Variant 017,6.5,1.2,0.8,0.1,False,Rack4,High,2025-01-20
Laptop - Variant 018,6.5,0.9,0.9,0.1,False,HighBay3,Medium,2025-01-27
Laptop - Variant 019,6.5,1.2,0.8,0.1,True,Basement1,Medium,2025-02-04
Laptop - Variant 020,6.7,1.0,0.9,0.1,True,AutomatedStorage5,Medium,2025-01-07
Smartphone - Variant 001,0.5,0.5,0.2,0.0,False,ManualStorage3,Medium,2025-01-29
Smartphone - Variant 002,0.4,0.5,0.3,0.0,False,ReturnsArea,Medium,2025-01-31
Smartphone - Variant 003,0.4,0.6,0.3,0.0,False,ZoneA,Low,2025-01-11
Smartphone - Variant 004,0.5,0.6,0.3,0.0,True,Priority5,High,2025-01-28
Smartphone - Variant 005,0.4,0.5,0.3,0.0,True,Rack2,Low,2025-01-12
Smartphone - Variant 006,0.4,0.5,0.3,0.0,True,LoadingDock2,Low,2025-01-31
Smartphone - Variant 007,0.3,0.5,0.3,0.0,False,Floor2,Medium,2024-12-17
Smartphone - Variant 008,0.3,0.6,0.3,0.0,False,QualityControl,Low,2024-12-25
Smartphone - Variant 009,0.4,0.6,0.3,0.0,False,SectionB,Low,2024-12-23
Smartphone - Variant 010,0.4,0.5,0.3,0.0,False,LoadingDock5,Low,2025-02-11
Smartphone - Variant 011,0.4,0.6,0.3,0.0,True,DryStorage,Low,2025-01-17
Smartphone - Variant 012,0.5,0.5,0.3,0.0,False,Rack1,High,2025-01-20
Smartphone - Variant 013,0.5,0.5,0.4,0.0,False,ZoneI,Low,2024-12-17
Smartphone - Variant 014,0.4,0.6,0.3,0.0,True,Aisle3,High,2025-01-22
