Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Engine Block - Variant 001,247.2,2.8,1.6,1.1,False,ShelfArea3,High,2025-01-05
Engine Block - Variant 002,248.6,2.4,1.9,1.2,False,BulkStorage,Medium,2024-12-22
Engine Block - Variant 003,413.3,2.5,1.7,1.5,False,Aisle9,Medium,2025-01-17
Engine Block - Variant 004,362.8,2.4,1.7,1.1,False,ZoneE,Medium,2025-01-19
Engine Block - Variant 005,242.9,2.4,2.3,1.3,False,SlowMoving,High,2024-12-23
Engine Block - Variant 006,231.7,3.0,2.0,1.2,False,ZoneC,Low,2025-01-03
Engine Block - Variant 007,275.7,2.9,1.7,1.3,False,ShelfArea2,Medium,2025-01-26
Engine Block - Variant 008,405.4,2.4,2.3,1.4,False,ZoneH,Medium,2025-02-07
Engine Block - Variant 009,393.4,3.1,2.2,1.3,False,SmallItems,High,2025-01-08
Engine Block - Variant 010,329.7,2.6,1.8,1.2,False,Priority4,Medium,2025-02-06
Engine Block - Variant 011,241.6,2.3,1.9,1.0,False,AutomatedStorage4,High,2024-12-23
Engine Block - Variant 012,421.6,2.1,2.1,1.1,False,HeavyItems,High,2025-01-08
Engine Block - Variant 013,416.4,2.2,2.3,1.4,False,Aisle4,Low,2025-01-18
Engine Block - Variant 014,373.2,2.8,1.7,1.5,False,LoadingDock2,High,2025-02-09
Engine Block - Variant 015,414.3,2.6,1.9,1.3,False,PalletArea3,Medium,2025-02-04
Engine Block - Variant 016,269.9,2.2,1.8,1.1,False,Rack3,Medium,2025-02-18
Engine Block - Variant 017,324.9,2.9,2.2,1.1,False,Mezzanine2,Low,2025-01-24
Engine Block - Variant 018,292.7,2.4,2.4,1.5,False,ShelfArea2,Low,2024-12-27
Engine Block - Variant 019,339.6,2.7,2.2,1.3,False,LoadingDock2,High,2025-02-02
Engine Block - Variant 020,364.2,3.1,2.1,1.1,False,Rack6,Low,2024-12-31
Gear Box - Variant 001,141.3,1.4,1.4,1.1,False,Floor1,Medium,2025-02-09
Gear Box - Variant 002,140.4,1.8,1.4,0.8,False,LoadingDock5,Medium,2025-02-03
Gear Box - Variant 003,125.1,1.6,1.2,0.9,False,Rack10,Low,2024-12-27
Gear Box - Variant 004,210.9,1.5,1.1,0.8,False,BulkItems,Medium,2025-01-09
Gear Box - Variant 005,190.4,1.7,1.3,1.2,False,AutomatedStorage2,Low,2025-01-24
Gear Box - Variant 006,204.1,1.7,1.3,0.9,False,Mezzanine3,Low,2025-01-22
Gear Box - Variant 007,117.5,1.5,1.3,0.8,False,ShippingArea,Low,2025-02-13
Gear Box - Variant 008,141.2,1.5,1.4,1.2,False,MediumItems,High,2024-12-25
Gear Box - Variant 009,165.3,1.8,1.2,0.8,False,ManualStorage2,Medium,2024-12-24
