Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Forest Technology Product 001,350.1,1.5,6.6,2.9,True,Floor3,Low,2025-06-01
Forest Technology Product 002,463.4,0.4,1.3,0.9,False,LargeItems,Low,2025-06-02
Forest Technology Product 003,34.2,1.8,7.0,0.5,True,HeavyItems,High,2025-06-03
Forest Technology Product 004,606.7,5.7,0.9,3.5,True,ZoneE,High,2025-06-04
Forest Technology Product 005,273.0,4.5,1.7,4.9,True,ManualStorage5,Medium,2025-06-05
Forest Technology Product 006,508.9,5.7,3.8,2.6,True,Rack3,Medium,2025-06-06
Forest Technology Product 007,119.8,11.5,4.2,1.5,False,ZoneH,Medium,2025-06-07
Forest Technology Product 008,370.8,2.0,4.2,5.3,False,Priority2,Medium,2025-06-08
Forest Technology Product 009,451.8,6.7,7.1,1.5,True,ZoneH,Medium,2025-06-09
Forest Technology Product 010,86.8,5.2,6.0,0.5,False,LoadingDock3,Medium,2025-06-10
Forest Technology Product 011,592.7,2.2,4.3,2.7,True,Rack9,Medium,2025-06-11
Forest Technology Product 012,323.7,2.2,7.3,3.0,True,ManualStorage2,Low,2025-06-12
Forest Technology Product 013,611.3,9.8,0.9,1.5,False,SectionD,Medium,2025-06-13
Forest Technology Product 014,426.9,8.7,3.1,1.5,False,PalletArea3,High,2025-06-14
Forest Technology Product 015,367.1,2.8,2.4,5.7,False,BulkItems,High,2025-06-15
Forest Technology Product 016,802.9,5.0,5.0,2.7,True,Mezzanine1,Medium,2025-06-16
Forest Technology Product 017,119.2,7.0,0.4,1.4,True,HighBay1,High,2025-06-17
Forest Technology Product 018,24.5,3.0,6.5,4.2,False,OverflowStorage,High,2025-06-18
Forest Technology Product 019,115.7,8.6,3.6,2.0,True,ReceivingArea,Low,2025-06-19
Forest Technology Product 020,352.1,4.5,2.9,1.6,False,ManualStorage4,High,2025-06-20
Forest Technology Product 021,576.9,5.7,4.6,4.5,False,Mezzanine1,Medium,2025-06-21
Forest Technology Product 022,784.0,3.0,2.4,2.1,True,ZoneA,High,2025-06-22
Forest Technology Product 023,140.9,6.0,6.2,3.1,True,StandardLane,High,2025-06-23
Forest Technology Product 024,385.0,8.6,2.8,0.8,True,AutomatedStorage1,Low,2025-06-24
Forest Technology Product 025,71.7,13.4,2.2,1.4,True,HighBay3,Low,2025-06-25
Forest Technology Product 026,236.9,2.7,7.4,3.0,False,Aisle1,High,2025-06-26
Forest Technology Product 027,411.6,3.9,4.5,1.2,False,Priority3,High,2025-06-27
Forest Technology Product 028,250.0,4.5,2.1,0.4,False,Mezzanine5,Medium,2025-06-28
Forest Technology Product 029,267.6,6.6,0.6,0.2,True,ZoneF,High,2025-06-29
Forest Technology Product 030,415.3,12.8,1.5,2.2,False,AutomatedStorage3,High,2025-06-30
Forest Technology Product 031,283.6,7.3,3.5,0.7,False,ManualStorage3,Low,2025-06-01
Forest Technology Product 032,870.2,14.2,0.8,4.6,False,SectionF,Medium,2025-06-02
Forest Technology Product 033,645.7,7.4,4.7,1.6,True,LargeItems,High,2025-06-03
Forest Technology Product 034,475.9,4.8,1.0,3.4,True,LoadingDock4,High,2025-06-04
Forest Technology Product 035,370.1,3.2,7.4,0.3,False,Aisle2,Medium,2025-06-05
Forest Technology Product 036,109.2,10.5,1.4,3.2,False,ZoneC,Low,2025-06-06
Forest Technology Product 037,49.3,3.5,6.6,0.8,True,BulkItems,Medium,2025-06-07
Forest Technology Product 038,577.4,7.3,1.1,3.0,True,Aisle9,Medium,2025-06-08
Forest Technology Product 039,213.1,4.6,2.8,3.5,False,EconomyLane,Medium,2025-06-09
Forest Technology Product 040,52.4,3.0,4.0,4.9,False,Basement2,High,2025-06-10
Forest Technology Product 041,452.8,8.4,1.8,5.0,False,PalletArea2,Low,2025-06-11
Forest Technology Product 042,104.4,6.4,0.8,5.0,True,LoadingDock4,High,2025-06-12
Forest Technology Product 043,204.0,4.2,0.4,2.3,False,ManualStorage2,Medium,2025-06-13
Forest Technology Product 044,868.0,10.7,2.6,3.6,False,FragileItems,Low,2025-06-14
Forest Technology Product 045,178.4,1.4,0.4,1.3,True,LoadingDock2,High,2025-06-15
Forest Technology Product 046,689.4,9.8,1.6,2.0,True,Mezzanine3,High,2025-06-16
Forest Technology Product 047,194.8,4.4,4.4,2.0,True,ManualStorage2,Low,2025-06-17
Forest Technology Product 048,213.0,2.6,6.2,3.2,True,Floor2,Low,2025-06-18
Forest Technology Product 049,453.6,6.5,5.6,3.1,True,SectionA,Medium,2025-06-19
Forest Technology Product 050,217.8,3.0,3.5,3.9,True,PalletArea4,Low,2025-06-20
Forest Technology Product 051,573.2,6.4,2.9,0.6,False,ManualStorage1,Low,2025-06-21
Forest Technology Product 052,123.3,8.4,4.5,2.8,False,BulkStorage,Low,2025-06-22
Forest Technology Product 053,397.0,5.1,4.7,4.5,True,ShelfArea3,High,2025-06-23
Forest Technology Product 054,433.9,11.4,1.3,5.3,True,ManualStorage3,Low,2025-06-24
Forest Technology Product 055,741.4,15.9,1.5,2.9,True,ShelfArea2,Low,2025-06-25
Forest Technology Product 056,59.2,1.1,0.6,0.4,True,Floor1,Medium,2025-06-26
Forest Technology Product 057,496.2,13.1,5.8,0.6,True,Floor3,High,2025-06-27
Forest Technology Product 058,389.7,11.7,2.4,4.6,True,ReturnsArea,High,2025-06-28
Forest Technology Product 059,447.8,6.5,2.1,1.4,True,ColdStorage,Medium,2025-06-29
Forest Technology Product 060,162.7,13.9,0.8,4.0,False,ShelfArea3,Medium,2025-06-30
Forest Technology Product 061,236.2,0.4,3.6,4.6,False,ZoneI,High,2025-06-01
Forest Technology Product 062,230.8,1.5,5.1,3.9,True,ShelfArea1,Medium,2025-06-02
Forest Technology Product 063,901.0,3.9,3.4,1.3,False,Aisle7,Low,2025-06-03
Forest Technology Product 064,645.1,2.3,2.5,1.0,True,ZoneG,Medium,2025-06-04
Forest Technology Product 065,523.6,5.3,3.8,3.7,True,FastMoving,Medium,2025-06-05
Forest Technology Product 066,376.5,13.6,3.6,1.3,True,Floor2,High,2025-06-06
Forest Technology Product 067,816.7,2.5,0.9,1.8,True,ManualStorage3,Medium,2025-06-07
Forest Technology Product 068,684.4,2.4,1.3,1.2,True,ShelfArea5,Medium,2025-06-08
Forest Technology Product 069,631.7,7.3,0.5,5.8,False,PalletArea2,Low,2025-06-09
Forest Technology Product 070,502.3,7.1,0.8,0.6,True,SmallItemStorage,High,2025-06-10
Forest Technology Product 071,240.8,3.2,1.0,0.8,False,Rack8,Low,2025-06-11
Forest Technology Product 072,182.8,1.1,3.2,4.0,True,ExpressLane,High,2025-06-12
Forest Technology Product 073,105.3,3.5,6.3,0.7,True,ShippingArea,Medium,2025-06-13
Forest Technology Product 074,765.0,1.5,0.5,5.9,False,Aisle3,High,2025-06-14
Forest Technology Product 075,576.4,9.9,3.2,3.8,True,SectionF,High,2025-06-15
Forest Technology Product 076,193.1,4.7,4.7,1.7,False,LoadingDock2,High,2025-06-16
Forest Technology Product 077,236.5,10.5,2.8,2.7,False,Rack8,High,2025-06-17
Forest Technology Product 078,329.3,9.2,4.4,5.2,True,ColdStorage,Medium,2025-06-18
Forest Technology Product 079,466.3,5.4,2.5,1.5,False,SmallItemStorage,Low,2025-06-19
Forest Technology Product 080,438.9,5.5,1.4,3.5,True,OverflowStorage,Low,2025-06-20
Forest Technology Product 081,298.1,3.2,2.2,2.6,False,BulkItems,High,2025-06-21
Forest Technology Product 082,672.8,13.4,6.5,3.9,False,LoadingDock2,Medium,2025-06-22
Forest Technology Product 083,646.3,0.7,4.2,4.9,True,Aisle9,Medium,2025-06-23
Forest Technology Product 084,823.6,7.5,2.6,3.1,False,SmallItems,Low,2025-06-24
Forest Technology Product 085,410.5,8.8,4.0,0.5,True,Priority4,Low,2025-06-25
Forest Technology Product 086,118.5,3.0,6.1,4.6,True,LoadingDock2,Low,2025-06-26
Forest Technology Product 087,291.5,10.0,6.1,2.4,True,Rack4,High,2025-06-27
Forest Technology Product 088,685.1,14.6,1.3,4.1,False,ZoneG,High,2025-06-28
Forest Technology Product 089,697.1,10.3,4.6,0.6,False,SectionC,Low,2025-06-29
Forest Technology Product 090,534.9,8.1,3.5,0.9,False,SectionH,High,2025-06-30
Forest Technology Product 091,24.1,8.7,1.5,0.7,False,ZoneJ,Low,2025-06-01
Forest Technology Product 092,224.4,6.9,3.9,3.0,False,Mezzanine2,Medium,2025-06-02
Forest Technology Product 093,684.8,1.1,1.5,3.5,False,PalletArea1,Low,2025-06-03
Forest Technology Product 094,264.1,2.9,3.7,4.2,False,ShelfArea1,Low,2025-06-04
Forest Technology Product 095,316.9,0.6,1.9,4.5,False,AutomatedStorage1,Low,2025-06-05
Forest Technology Product 096,244.6,7.1,1.5,0.8,True,Mezzanine3,Low,2025-06-06
Forest Technology Product 097,23.9,12.6,2.6,2.2,True,LargeItems,Medium,2025-06-07
Forest Technology Product 098,194.2,8.3,7.0,3.7,False,ReturnsArea,High,2025-06-08
Forest Technology Product 099,77.8,4.9,2.9,3.8,False,Aisle2,High,2025-06-09
Forest Technology Product 100,25.5,6.3,2.8,2.8,False,ReceivingArea,Low,2025-06-10
