Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Metal Fabrication Product 001,630.3,13.6,5.3,3.5,True,HighBay2,Medium,2025-05-01
Metal Fabrication Product 002,244.0,11.5,2.0,2.4,True,Mezzanine2,Low,2025-05-02
Metal Fabrication Product 003,426.2,7.2,3.7,4.7,True,Priority4,Medium,2025-05-03
Metal Fabrication Product 004,168.0,8.2,2.6,5.0,True,Floor2,Medium,2025-05-04
Metal Fabrication Product 005,551.3,3.5,5.3,4.0,True,SectionF,High,2025-05-05
Metal Fabrication Product 006,730.2,1.6,3.8,2.9,False,ZoneH,Low,2025-05-06
Metal Fabrication Product 007,346.4,9.6,3.1,0.8,True,OverflowStorage,High,2025-05-07
Metal Fabrication Product 008,141.9,4.2,2.0,4.2,False,LoadingDock5,Medium,2025-05-08
Metal Fabrication Product 009,270.4,5.9,4.4,3.8,False,Rack2,Low,2025-05-09
Metal Fabrication Product 010,357.6,10.8,3.3,1.1,True,SmallItemStorage,High,2025-05-10
Metal Fabrication Product 011,423.3,3.3,4.5,1.3,False,HighBay1,Low,2025-05-11
Metal Fabrication Product 012,400.6,4.4,1.2,2.9,True,StandardLane,Low,2025-05-12
Metal Fabrication Product 013,166.5,10.5,2.5,4.5,True,OverflowLane,Medium,2025-05-13
Metal Fabrication Product 014,163.1,11.2,1.4,3.0,True,Basement2,High,2025-05-14
Metal Fabrication Product 015,457.7,13.6,4.2,2.8,True,ZoneA,Low,2025-05-15
Metal Fabrication Product 016,102.3,7.9,4.2,2.2,False,HighBay1,Low,2025-05-16
Metal Fabrication Product 017,100.7,6.8,4.6,0.7,False,Rack2,Low,2025-05-17
Metal Fabrication Product 018,330.7,7.7,3.4,3.5,True,ExpressLane,Medium,2025-05-18
Metal Fabrication Product 019,56.4,2.1,3.0,2.8,True,Floor5,High,2025-05-19
Metal Fabrication Product 020,45.0,8.8,4.5,4.9,True,SectionC,Medium,2025-05-20
Metal Fabrication Product 021,275.5,13.4,5.2,2.8,False,FastMoving,Low,2025-05-21
Metal Fabrication Product 022,158.9,3.1,3.8,0.8,True,Priority1,Medium,2025-05-22
Metal Fabrication Product 023,201.9,7.0,6.5,1.8,True,Seasonal,High,2025-05-23
Metal Fabrication Product 024,226.8,7.3,2.6,3.4,True,ZoneF,Low,2025-05-24
Metal Fabrication Product 025,79.9,8.3,4.4,1.4,True,SectionF,Low,2025-05-25
Metal Fabrication Product 026,630.5,7.5,0.5,3.9,False,ZoneE,High,2025-05-26
Metal Fabrication Product 027,84.3,3.0,6.8,1.4,False,MediumItems,High,2025-05-27
Metal Fabrication Product 028,355.2,3.2,6.9,4.9,False,Priority5,High,2025-05-28
Metal Fabrication Product 029,176.5,2.7,1.7,3.8,True,ManualStorage3,High,2025-05-29
Metal Fabrication Product 030,121.7,3.8,1.9,5.3,False,Aisle6,High,2025-05-30
Metal Fabrication Product 031,30.1,4.5,0.9,3.1,True,Aisle8,Medium,2025-05-01
Metal Fabrication Product 032,712.8,7.7,4.7,3.1,False,DryStorage,Medium,2025-05-02
Metal Fabrication Product 033,234.5,13.0,4.7,2.3,False,LoadingDock4,High,2025-05-03
Metal Fabrication Product 034,14.7,8.3,4.7,5.5,False,ShippingArea,Low,2025-05-04
Metal Fabrication Product 035,141.7,9.0,4.1,3.2,False,SectionD,Medium,2025-05-05
Metal Fabrication Product 036,274.4,10.7,0.3,2.5,True,ColdStorage,High,2025-05-06
Metal Fabrication Product 037,204.3,1.3,4.8,0.4,False,ManualStorage4,Medium,2025-05-07
Metal Fabrication Product 038,465.9,3.5,5.1,2.8,True,SectionC,Low,2025-05-08
Metal Fabrication Product 039,504.7,4.0,6.2,1.8,False,Rack1,High,2025-05-09
Metal Fabrication Product 040,33.8,12.8,2.2,1.7,True,Aisle3,Low,2025-05-10
Metal Fabrication Product 041,23.5,3.9,2.6,3.9,False,Floor4,Low,2025-05-11
Metal Fabrication Product 042,437.2,2.6,2.7,3.2,False,SectionD,Low,2025-05-12
Metal Fabrication Product 043,453.2,6.4,3.1,0.9,True,HighBay2,Low,2025-05-13
Metal Fabrication Product 044,534.8,0.9,2.2,2.8,False,LoadingDock2,Low,2025-05-14
Metal Fabrication Product 045,750.9,16.1,3.9,4.2,True,ManualStorage5,Medium,2025-05-15
Metal Fabrication Product 046,216.7,10.0,1.8,3.7,False,Mezzanine1,Medium,2025-05-16
Metal Fabrication Product 047,246.4,0.6,2.3,2.0,True,AutomatedStorage2,Medium,2025-05-17
Metal Fabrication Product 048,168.8,9.6,1.0,2.7,True,HeavyItems,Medium,2025-05-18
Metal Fabrication Product 049,911.4,2.2,0.3,1.0,False,SectionG,Low,2025-05-19
Metal Fabrication Product 050,355.7,9.6,2.7,1.0,True,ManualStorage4,High,2025-05-20
Metal Fabrication Product 051,515.1,9.0,2.9,4.2,True,ZoneI,Low,2025-05-21
Metal Fabrication Product 052,96.1,3.9,2.2,5.2,False,Rack1,Medium,2025-05-22
Metal Fabrication Product 053,109.4,10.7,1.1,3.7,False,ZoneB,High,2025-05-23
Metal Fabrication Product 054,183.7,3.6,4.3,0.5,True,ZoneD,High,2025-05-24
Metal Fabrication Product 055,234.0,3.3,4.0,1.4,True,Basement3,High,2025-05-25
Metal Fabrication Product 056,65.1,3.8,1.3,3.4,True,ManualStorage5,Medium,2025-05-26
Metal Fabrication Product 057,291.1,0.6,5.5,2.5,True,Aisle10,Medium,2025-05-27
Metal Fabrication Product 058,313.7,8.7,0.5,4.8,True,PalletArea2,High,2025-05-28
Metal Fabrication Product 059,277.3,4.5,3.9,5.5,True,LightItems,Low,2025-05-29
Metal Fabrication Product 060,456.0,10.8,3.5,1.9,True,Rack5,Medium,2025-05-30
Metal Fabrication Product 061,267.3,6.7,5.2,1.1,True,Aisle10,High,2025-05-01
Metal Fabrication Product 062,34.3,9.1,4.9,1.9,True,ShelfArea3,High,2025-05-02
Metal Fabrication Product 063,399.8,11.1,3.4,3.2,False,ShelfArea2,High,2025-05-03
Metal Fabrication Product 064,589.2,6.0,3.1,3.6,False,ZoneE,High,2025-05-04
Metal Fabrication Product 065,68.7,6.3,1.3,0.9,False,StandardLane,Medium,2025-05-05
Metal Fabrication Product 066,117.4,6.5,3.8,2.7,False,Basement3,Low,2025-05-06
Metal Fabrication Product 067,449.8,11.8,4.6,4.3,False,ShelfArea1,Low,2025-05-07
Metal Fabrication Product 068,496.7,5.0,2.5,5.2,False,Rack7,High,2025-05-08
Metal Fabrication Product 069,420.3,8.8,5.2,3.8,False,Mezzanine2,High,2025-05-09
Metal Fabrication Product 070,236.6,13.6,3.7,4.6,True,Floor3,High,2025-05-10
Metal Fabrication Product 071,248.3,3.2,4.9,2.9,True,ManualStorage2,High,2025-05-11
Metal Fabrication Product 072,160.3,12.0,1.5,5.0,True,Aisle8,Medium,2025-05-12
Metal Fabrication Product 073,15.1,3.0,1.1,2.2,False,HighBay5,Medium,2025-05-13
Metal Fabrication Product 074,132.1,13.2,5.6,4.6,False,ReturnsArea,Low,2025-05-14
Metal Fabrication Product 075,158.1,8.9,2.0,4.6,True,Rack7,Low,2025-05-15
Metal Fabrication Product 076,316.8,10.3,4.9,3.2,True,Priority1,Medium,2025-05-16
Metal Fabrication Product 077,429.6,0.4,6.7,3.2,True,Aisle7,Medium,2025-05-17
Metal Fabrication Product 078,687.8,8.6,2.7,0.8,True,BulkItems,Medium,2025-05-18
Metal Fabrication Product 079,143.3,14.2,5.2,1.0,True,HighBay3,Low,2025-05-19
Metal Fabrication Product 080,352.1,12.3,3.6,2.8,False,ManualStorage5,Medium,2025-05-20
Metal Fabrication Product 081,375.1,6.2,2.4,2.9,False,HighBay3,Medium,2025-05-21
Metal Fabrication Product 082,194.1,4.0,0.4,4.9,True,AutomatedStorage5,High,2025-05-22
Metal Fabrication Product 083,108.7,0.4,4.1,2.2,True,PremiumLane,Medium,2025-05-23
Metal Fabrication Product 084,417.1,10.3,3.4,4.2,False,Basement3,Medium,2025-05-24
Metal Fabrication Product 085,137.2,3.2,4.1,1.9,False,ZoneI,Medium,2025-05-25
Metal Fabrication Product 086,90.6,12.4,0.6,1.0,False,Aisle3,Medium,2025-05-26
Metal Fabrication Product 087,285.4,2.1,1.8,2.7,True,Aisle5,High,2025-05-27
Metal Fabrication Product 088,341.2,1.8,5.7,3.0,True,Aisle3,Medium,2025-05-28
Metal Fabrication Product 089,763.0,8.8,4.5,0.6,True,AutomatedStorage4,Medium,2025-05-29
Metal Fabrication Product 090,267.6,6.5,0.6,2.9,False,LoadingDock2,Medium,2025-05-30
Metal Fabrication Product 091,589.2,14.0,2.9,3.4,False,Floor1,Medium,2025-05-01
Metal Fabrication Product 092,314.0,9.3,4.7,5.5,False,LoadingDock1,Medium,2025-05-02
Metal Fabrication Product 093,242.4,8.5,4.6,3.2,False,OverflowStorage,High,2025-05-03
Metal Fabrication Product 094,122.4,9.1,6.3,2.7,True,Rack8,Medium,2025-05-04
Metal Fabrication Product 095,459.9,2.4,1.4,1.0,True,PalletArea5,Low,2025-05-05
Metal Fabrication Product 096,547.5,10.2,0.5,2.5,True,Rack8,Low,2025-05-06
Metal Fabrication Product 097,736.5,6.5,0.5,1.0,False,Rack10,Medium,2025-05-07
Metal Fabrication Product 098,233.7,7.5,2.6,2.9,False,EconomyLane,Medium,2025-05-08
Metal Fabrication Product 099,778.4,9.4,4.5,3.7,False,Mezzanine4,Low,2025-05-09
Metal Fabrication Product 100,462.7,7.6,4.8,2.1,False,SectionB,Medium,2025-05-10
