Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Agritech Technology Product 001,347.3,2.5,3.6,1.4,False,SectionG,High,2025-08-01
Agritech Technology Product 002,427.2,13.7,2.6,3.3,True,Rack3,Medium,2025-08-02
Agritech Technology Product 003,15.5,10.1,4.7,4.1,True,HighBay1,Medium,2025-08-03
Agritech Technology Product 004,704.1,9.0,0.5,2.7,True,Aisle3,Medium,2025-08-04
Agritech Technology Product 005,493.6,12.0,2.6,1.8,True,Basement5,High,2025-08-05
Agritech Technology Product 006,405.9,2.5,6.1,3.6,False,Priority2,Low,2025-08-06
Agritech Technology Product 007,12.6,6.0,5.0,3.3,False,Basement2,High,2025-08-07
Agritech Technology Product 008,408.7,2.6,1.3,4.2,True,Priority5,High,2025-08-08
Agritech Technology Product 009,416.4,9.7,6.2,4.3,True,Floor4,Medium,2025-08-09
Agritech Technology Product 010,338.1,6.8,2.5,2.4,True,Mezzanine1,Medium,2025-08-10
Agritech Technology Product 011,361.0,6.0,2.0,4.4,True,Mezzanine5,Medium,2025-08-11
Agritech Technology Product 012,411.7,2.5,2.8,5.9,False,BulkItems,Low,2025-08-12
Agritech Technology Product 013,97.5,5.7,5.3,3.0,True,SectionB,Medium,2025-08-13
Agritech Technology Product 014,795.9,2.3,3.7,2.9,False,PalletArea5,High,2025-08-14
Agritech Technology Product 015,555.6,8.8,1.2,1.8,True,HazardousStorage,Medium,2025-08-15
Agritech Technology Product 016,718.2,6.0,2.2,1.5,True,LoadingDock4,High,2025-08-16
Agritech Technology Product 017,101.4,0.4,5.0,2.7,False,DryStorage,Medium,2025-08-17
Agritech Technology Product 018,303.9,8.5,5.2,3.2,True,LoadingDock5,Medium,2025-08-18
Agritech Technology Product 019,42.6,11.9,4.8,1.0,True,Basement4,Medium,2025-08-19
Agritech Technology Product 020,245.1,9.2,3.8,3.9,False,Floor4,Low,2025-08-20
Agritech Technology Product 021,302.2,12.9,2.9,1.9,True,SmallItemStorage,Low,2025-08-21
Agritech Technology Product 022,150.2,4.8,3.0,3.1,True,Basement4,High,2025-08-22
Agritech Technology Product 023,505.9,8.9,0.8,2.7,True,LoadingDock5,Low,2025-08-23
Agritech Technology Product 024,508.0,9.2,1.3,2.5,False,ShelfArea2,Medium,2025-08-24
Agritech Technology Product 025,84.5,10.7,3.0,1.6,True,ReturnsArea,Medium,2025-08-25
Agritech Technology Product 026,156.5,12.1,2.3,1.2,True,Mezzanine4,Low,2025-08-26
Agritech Technology Product 027,425.0,9.4,6.0,5.5,False,DryStorage,Low,2025-08-27
Agritech Technology Product 028,335.8,7.5,0.8,2.4,True,ManualStorage3,High,2025-08-28
Agritech Technology Product 029,183.2,1.1,2.0,1.3,True,ReceivingArea,Low,2025-08-29
Agritech Technology Product 030,353.0,0.9,5.9,3.7,False,SectionB,High,2025-08-30
Agritech Technology Product 031,197.5,12.3,2.9,3.9,False,Floor5,High,2025-08-01
Agritech Technology Product 032,256.4,9.0,1.2,1.6,False,ShelfArea3,Medium,2025-08-02
Agritech Technology Product 033,294.8,2.2,4.5,3.6,False,ZoneA,High,2025-08-03
Agritech Technology Product 034,650.4,11.1,6.7,1.8,True,OverflowStorage,High,2025-08-04
Agritech Technology Product 035,363.4,2.1,3.6,2.6,True,AutomatedStorage4,Medium,2025-08-05
Agritech Technology Product 036,212.2,1.1,6.6,0.7,False,Seasonal,High,2025-08-06
Agritech Technology Product 037,451.9,5.5,3.8,5.4,True,DryStorage,Low,2025-08-07
Agritech Technology Product 038,189.0,13.9,0.4,2.2,False,HighBay4,Low,2025-08-08
Agritech Technology Product 039,73.0,9.2,2.9,0.3,False,Basement1,Low,2025-08-09
Agritech Technology Product 040,796.1,1.5,1.7,2.2,True,Floor2,High,2025-08-10
Agritech Technology Product 041,347.4,8.3,0.5,4.8,False,ShelfArea3,Low,2025-08-11
Agritech Technology Product 042,21.5,7.3,2.3,0.7,False,SectionF,High,2025-08-12
Agritech Technology Product 043,200.6,2.0,6.7,0.9,True,ReturnsArea,High,2025-08-13
Agritech Technology Product 044,707.5,12.7,1.8,1.9,True,ShelfArea5,High,2025-08-14
Agritech Technology Product 045,433.9,5.6,3.2,3.8,False,ZoneE,High,2025-08-15
Agritech Technology Product 046,271.7,7.9,3.4,1.6,True,ZoneD,Medium,2025-08-16
Agritech Technology Product 047,679.0,8.5,1.6,1.1,True,Floor2,Low,2025-08-17
Agritech Technology Product 048,2.1,11.9,5.8,1.4,True,Mezzanine3,High,2025-08-18
Agritech Technology Product 049,674.1,5.5,2.5,1.2,False,Aisle1,High,2025-08-19
Agritech Technology Product 050,209.0,13.0,2.4,2.8,True,LightItems,High,2025-08-20
Agritech Technology Product 051,272.6,3.1,4.4,2.8,False,Rack8,Medium,2025-08-21
Agritech Technology Product 052,511.9,7.1,1.9,6.3,False,Floor4,High,2025-08-22
Agritech Technology Product 053,369.9,9.2,0.6,0.8,True,AutomatedStorage2,Low,2025-08-23
Agritech Technology Product 054,443.9,13.4,3.8,3.9,True,SlowMoving,Medium,2025-08-24
Agritech Technology Product 055,234.2,10.3,3.6,4.0,True,ZoneC,High,2025-08-25
Agritech Technology Product 056,17.6,6.8,0.6,2.4,False,PalletArea2,Low,2025-08-26
Agritech Technology Product 057,440.5,1.9,0.3,1.6,True,ShippingArea,Low,2025-08-27
Agritech Technology Product 058,216.4,1.2,1.5,3.3,True,OverflowStorage,Medium,2025-08-28
Agritech Technology Product 059,18.7,9.3,3.7,3.1,False,Rack8,High,2025-08-29
Agritech Technology Product 060,236.0,15.2,0.3,1.0,True,Aisle4,Medium,2025-08-30
Agritech Technology Product 061,5.4,7.2,0.5,0.4,True,ZoneE,Medium,2025-08-01
Agritech Technology Product 062,202.9,5.2,5.8,4.4,True,PalletArea3,High,2025-08-02
Agritech Technology Product 063,426.2,2.7,4.6,0.8,True,ZoneH,Medium,2025-08-03
Agritech Technology Product 064,209.7,4.6,2.4,3.4,False,Priority4,High,2025-08-04
Agritech Technology Product 065,50.1,6.4,6.0,1.5,False,ExpressLane,Low,2025-08-05
Agritech Technology Product 066,70.7,6.6,6.2,2.6,False,Aisle6,Medium,2025-08-06
Agritech Technology Product 067,808.9,11.4,4.6,2.5,True,ZoneA,Medium,2025-08-07
Agritech Technology Product 068,4.2,14.2,3.3,3.5,False,ReceivingArea,Low,2025-08-08
