Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Poultry Technology Product 001,14.0,7.7,4.7,2.6,True,HighBay4,Medium,2025-07-01
Poultry Technology Product 002,595.1,3.9,1.1,1.7,True,ZoneE,High,2025-07-02
Poultry Technology Product 003,518.9,2.1,1.8,1.9,False,Priority5,Medium,2025-07-03
Poultry Technology Product 004,39.3,4.5,3.8,1.9,False,ColdStorage,Medium,2025-07-04
Poultry Technology Product 005,511.5,2.6,4.6,1.4,False,Mezzanine2,Medium,2025-07-05
Poultry Technology Product 006,312.8,6.6,7.4,3.9,True,LoadingDock1,High,2025-07-06
Poultry Technology Product 007,508.8,10.8,2.6,2.5,False,LargeItems,Medium,2025-07-07
Poultry Technology Product 008,74.0,9.7,1.4,1.4,False,Aisle4,Medium,2025-07-08
Poultry Technology Product 009,246.5,1.6,4.1,2.1,True,Aisle8,Medium,2025-07-09
Poultry Technology Product 010,406.5,5.2,5.0,4.0,True,ZoneF,High,2025-07-10
Poultry Technology Product 011,93.8,9.8,4.6,4.4,False,ZoneI,Low,2025-07-11
Poultry Technology Product 012,85.7,1.8,6.0,0.3,True,Aisle7,Medium,2025-07-12
Poultry Technology Product 013,247.1,2.7,0.8,0.7,False,Mezzanine3,Medium,2025-07-13
Poultry Technology Product 014,393.4,6.3,1.9,3.3,False,OverflowLane,Low,2025-07-14
Poultry Technology Product 015,136.8,1.7,2.4,3.9,True,ZoneC,Medium,2025-07-15
Poultry Technology Product 016,217.0,14.1,2.2,0.4,False,ShelfArea4,Low,2025-07-16
Poultry Technology Product 017,342.7,7.9,7.1,1.1,False,SectionD,Medium,2025-07-17
Poultry Technology Product 018,325.8,6.8,6.3,0.5,True,ManualStorage1,Medium,2025-07-18
Poultry Technology Product 019,27.9,13.7,7.8,2.1,False,HeavyItems,High,2025-07-19
Poultry Technology Product 020,175.1,8.9,2.5,4.5,True,Rack3,Medium,2025-07-20
Poultry Technology Product 021,131.7,1.5,3.1,4.4,False,ExpressLane,Medium,2025-07-21
Poultry Technology Product 022,215.8,8.7,6.7,0.6,True,Mezzanine5,Low,2025-07-22
Poultry Technology Product 023,274.7,1.6,4.7,0.9,True,Mezzanine2,Low,2025-07-23
Poultry Technology Product 024,53.7,11.8,0.9,3.9,True,Aisle6,High,2025-07-24
Poultry Technology Product 025,64.3,4.1,1.7,2.0,False,SmallItemStorage,High,2025-07-25
Poultry Technology Product 026,651.2,6.3,1.8,2.8,False,Rack2,Low,2025-07-26
Poultry Technology Product 027,332.2,8.3,3.8,0.4,False,LoadingDock3,High,2025-07-27
Poultry Technology Product 028,128.6,12.5,4.2,4.9,False,Rack9,Low,2025-07-28
Poultry Technology Product 029,381.3,5.2,4.7,5.6,True,ManualStorage4,Medium,2025-07-29
Poultry Technology Product 030,124.9,1.5,4.0,4.8,True,HighBay1,Low,2025-07-30
Poultry Technology Product 031,252.5,7.3,1.6,1.4,False,BulkStorage,High,2025-07-01
Poultry Technology Product 032,816.0,0.4,8.1,1.4,True,LoadingDock1,High,2025-07-02
Poultry Technology Product 033,113.8,16.4,3.7,2.0,True,Mezzanine3,High,2025-07-03
Poultry Technology Product 034,566.5,2.6,5.6,2.9,False,Aisle4,Low,2025-07-04
Poultry Technology Product 035,374.0,3.7,1.7,0.5,False,ColdStorage,Medium,2025-07-05
Poultry Technology Product 036,107.8,5.0,2.3,2.3,False,Basement4,Medium,2025-07-06
Poultry Technology Product 037,255.8,8.3,5.0,1.8,True,HighBay3,Low,2025-07-07
Poultry Technology Product 038,119.0,8.9,1.9,2.4,False,FragileItems,Medium,2025-07-08
Poultry Technology Product 039,251.2,8.2,3.0,3.7,False,Mezzanine3,Low,2025-07-09
Poultry Technology Product 040,46.5,4.4,7.1,2.4,False,Priority5,Medium,2025-07-10
Poultry Technology Product 041,160.3,10.0,0.6,2.6,True,SmallItems,Medium,2025-07-11
Poultry Technology Product 042,52.6,7.4,6.4,4.8,True,AutomatedStorage3,Low,2025-07-12
Poultry Technology Product 043,354.9,13.1,0.9,0.8,False,BulkStorage,Low,2025-07-13
Poultry Technology Product 044,201.2,9.7,2.0,1.7,False,Floor4,High,2025-07-14
Poultry Technology Product 045,517.1,6.5,3.9,4.5,False,OverflowLane,Low,2025-07-15
Poultry Technology Product 046,344.2,2.1,1.4,2.0,False,Floor4,High,2025-07-16
Poultry Technology Product 047,625.0,16.0,1.4,1.1,False,PalletArea1,Medium,2025-07-17
Poultry Technology Product 048,349.2,0.3,4.1,0.8,False,ZoneF,Low,2025-07-18
Poultry Technology Product 049,48.0,7.6,2.2,1.3,False,ManualStorage2,High,2025-07-19
Poultry Technology Product 050,32.7,6.3,4.5,4.1,False,Rack10,Low,2025-07-20
Poultry Technology Product 051,335.9,7.8,0.3,1.3,False,ManualStorage5,High,2025-07-21
Poultry Technology Product 052,381.2,7.0,5.2,4.4,True,Priority3,Medium,2025-07-22
Poultry Technology Product 053,413.1,3.9,4.3,2.7,True,AutomatedStorage5,Low,2025-07-23
Poultry Technology Product 054,296.7,3.4,5.3,4.7,False,Floor4,Low,2025-07-24
Poultry Technology Product 055,497.0,9.0,1.4,2.5,False,Mezzanine5,Medium,2025-07-25
Poultry Technology Product 056,385.5,8.4,4.1,2.6,False,Rack2,Low,2025-07-26
Poultry Technology Product 057,464.3,8.1,0.3,4.5,True,Priority2,Low,2025-07-27
Poultry Technology Product 058,336.0,10.6,4.2,3.3,False,ZoneD,Low,2025-07-28
Poultry Technology Product 059,274.3,2.1,3.8,5.2,True,FragileItems,Low,2025-07-29
Poultry Technology Product 060,74.1,3.0,5.4,0.9,True,AutomatedStorage5,High,2025-07-30
Poultry Technology Product 061,693.6,8.9,2.4,3.9,True,AutomatedStorage3,High,2025-07-01
Poultry Technology Product 062,456.7,3.4,3.3,1.0,True,ExpressLane,Low,2025-07-02
Poultry Technology Product 063,810.3,0.6,5.2,0.9,True,ShelfArea2,Medium,2025-07-03
Poultry Technology Product 064,307.7,13.4,2.9,2.2,False,ShelfArea4,Medium,2025-07-04
Poultry Technology Product 065,359.7,5.5,7.3,2.0,True,ReceivingArea,High,2025-07-05
Poultry Technology Product 066,625.6,11.5,0.8,1.9,True,Rack7,Low,2025-07-06
Poultry Technology Product 067,517.2,2.2,4.3,1.0,True,Priority4,High,2025-07-07
Poultry Technology Product 068,275.4,2.0,6.2,2.1,False,PalletArea2,High,2025-07-08
Poultry Technology Product 069,150.7,9.0,2.0,0.8,True,HighBay4,Low,2025-07-09
Poultry Technology Product 070,128.6,12.0,2.8,3.0,False,LoadingDock3,Low,2025-07-10
Poultry Technology Product 071,209.2,0.3,4.3,5.1,False,PalletArea2,Low,2025-07-11
Poultry Technology Product 072,583.5,6.6,3.8,0.6,True,PalletArea3,Medium,2025-07-12
Poultry Technology Product 073,875.1,9.4,4.1,0.2,False,ShelfArea1,High,2025-07-13
Poultry Technology Product 074,327.4,4.9,3.9,1.4,True,ReceivingArea,High,2025-07-14
Poultry Technology Product 075,754.3,6.9,7.7,3.8,True,ShelfArea1,High,2025-07-15
Poultry Technology Product 076,209.4,6.8,1.4,3.1,False,ZoneD,Medium,2025-07-16
Poultry Technology Product 077,392.5,9.7,3.6,3.8,True,ShelfArea5,Low,2025-07-17
Poultry Technology Product 078,200.8,5.4,2.7,1.3,True,ManualStorage1,Low,2025-07-18
Poultry Technology Product 079,332.6,9.7,2.9,2.6,True,AutomatedStorage2,Low,2025-07-19
Poultry Technology Product 080,13.6,0.6,2.5,1.6,True,ZoneH,Medium,2025-07-20
Poultry Technology Product 081,240.7,9.0,5.2,1.1,False,SectionC,Medium,2025-07-21
Poultry Technology Product 082,365.1,2.2,7.0,3.4,True,Basement2,Medium,2025-07-22
Poultry Technology Product 083,527.1,0.3,1.6,3.8,False,AutomatedStorage2,Low,2025-07-23
Poultry Technology Product 084,513.1,14.8,3.7,1.6,True,AutomatedStorage1,Medium,2025-07-24
Poultry Technology Product 085,530.1,6.6,7.5,1.8,True,ZoneG,Low,2025-07-25
Poultry Technology Product 086,491.7,2.9,0.7,1.4,False,Basement5,Low,2025-07-26
Poultry Technology Product 087,341.6,7.5,1.7,2.6,True,AutomatedStorage4,Medium,2025-07-27
Poultry Technology Product 088,387.6,4.6,2.2,4.8,False,ShelfArea4,Low,2025-07-28
Poultry Technology Product 089,292.2,12.4,2.2,4.2,True,OverflowStorage,Low,2025-07-29
Poultry Technology Product 090,574.1,12.1,6.5,2.6,False,FragileItems,High,2025-07-30
Poultry Technology Product 091,539.7,8.0,2.4,1.2,True,LoadingDock1,High,2025-07-01
Poultry Technology Product 092,476.2,2.5,2.4,2.9,False,ZoneB,High,2025-07-02
Poultry Technology Product 093,133.3,10.8,5.3,3.3,True,Floor4,Medium,2025-07-03
Poultry Technology Product 094,480.8,3.4,0.4,5.4,True,Basement5,Low,2025-07-04
Poultry Technology Product 095,79.9,11.0,1.2,0.4,False,PalletArea2,Low,2025-07-05
Poultry Technology Product 096,268.7,11.6,3.8,3.6,True,ZoneH,High,2025-07-06
