Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Leather Goods Product 001,60.8,2.9,4.0,3.4,False,SectionD,Medium,2025-05-01
Leather Goods Product 002,471.4,1.0,1.0,4.5,True,FastMoving,High,2025-05-02
Leather Goods Product 003,41.5,9.4,5.8,0.5,False,FragileItems,Medium,2025-05-03
Leather Goods Product 004,413.9,9.2,4.8,1.9,False,Floor5,Low,2025-05-04
Leather Goods Product 005,281.6,3.1,1.3,3.7,True,OverflowLane,Low,2025-05-05
Leather Goods Product 006,135.5,2.4,4.3,0.8,True,HazardousStorage,Low,2025-05-06
Leather Goods Product 007,114.0,3.8,1.2,1.2,True,LoadingDock5,Medium,2025-05-07
Leather Goods Product 008,512.9,6.9,2.7,5.4,False,Mezzanine4,High,2025-05-08
Leather Goods Product 009,177.8,0.8,4.9,2.6,False,SectionC,High,2025-05-09
Leather Goods Product 010,15.9,6.5,6.4,2.9,True,Mezzanine4,High,2025-05-10
Leather Goods Product 011,439.5,4.0,0.5,2.2,True,Priority5,Medium,2025-05-11
Leather Goods Product 012,309.3,12.1,1.1,2.9,True,ManualStorage4,Low,2025-05-12
Leather Goods Product 013,215.0,0.4,3.0,1.4,False,ReturnsArea,Low,2025-05-13
Leather Goods Product 014,209.2,11.0,4.3,2.0,True,ReceivingArea,High,2025-05-14
Leather Goods Product 015,125.9,2.2,3.8,4.1,True,ZoneJ,High,2025-05-15
Leather Goods Product 016,132.0,3.2,1.3,3.5,True,Rack9,Medium,2025-05-16
Leather Goods Product 017,235.2,12.8,4.2,4.9,False,OverflowLane,Low,2025-05-17
Leather Goods Product 018,402.5,12.6,1.5,3.3,False,EconomyLane,Medium,2025-05-18
Leather Goods Product 019,9.1,6.5,4.7,5.5,True,ZoneF,Medium,2025-05-19
Leather Goods Product 020,192.1,15.2,5.1,2.8,False,SmallItems,Low,2025-05-20
Leather Goods Product 021,414.2,3.1,7.1,3.7,True,ManualStorage1,Low,2025-05-21
Leather Goods Product 022,811.4,5.6,3.2,4.0,True,ManualStorage2,High,2025-05-22
Leather Goods Product 023,3.5,5.1,3.2,0.6,True,SectionF,High,2025-05-23
Leather Goods Product 024,186.3,0.2,1.5,4.9,False,Basement4,Medium,2025-05-24
Leather Goods Product 025,664.2,9.5,6.1,3.5,True,SectionC,High,2025-05-25
Leather Goods Product 026,47.2,7.2,0.5,1.0,False,PremiumLane,Medium,2025-05-26
Leather Goods Product 027,311.5,7.5,4.2,3.5,False,Rack5,High,2025-05-27
Leather Goods Product 028,60.7,8.2,0.8,0.4,False,Basement3,High,2025-05-28
Leather Goods Product 029,214.6,7.6,8.1,4.1,False,ManualStorage1,Low,2025-05-29
Leather Goods Product 030,267.1,4.3,5.2,4.0,True,ZoneB,Medium,2025-05-30
Leather Goods Product 031,363.0,15.1,2.7,2.1,True,AutomatedStorage5,Low,2025-05-01
Leather Goods Product 032,495.2,0.8,3.1,3.4,True,Priority4,Medium,2025-05-02
Leather Goods Product 033,460.1,11.3,3.5,5.0,True,Mezzanine3,Medium,2025-05-03
Leather Goods Product 034,388.6,11.2,6.3,0.6,False,ColdStorage,Low,2025-05-04
Leather Goods Product 035,209.3,3.8,3.3,1.5,True,LoadingDock5,High,2025-05-05
Leather Goods Product 036,94.2,8.7,2.5,2.9,True,LoadingDock5,Medium,2025-05-06
Leather Goods Product 037,669.5,11.6,3.2,1.7,False,SectionD,Low,2025-05-07
Leather Goods Product 038,491.9,5.7,4.2,3.1,False,OverflowStorage,Medium,2025-05-08
Leather Goods Product 039,255.2,12.9,4.4,0.7,False,LoadingDock2,Low,2025-05-09
Leather Goods Product 040,32.5,1.4,2.9,1.0,False,AutomatedStorage4,Low,2025-05-10
Leather Goods Product 041,488.1,8.8,5.5,0.4,True,ZoneG,Medium,2025-05-11
Leather Goods Product 042,398.7,3.3,1.9,3.6,False,QualityControl,High,2025-05-12
Leather Goods Product 043,89.3,6.8,0.7,3.7,False,ShelfArea1,High,2025-05-13
Leather Goods Product 044,218.9,5.8,4.2,3.9,False,Rack10,Low,2025-05-14
Leather Goods Product 045,217.8,9.9,6.8,0.4,True,Aisle7,Low,2025-05-15
Leather Goods Product 046,158.2,6.8,4.5,1.2,True,SmallItemStorage,Low,2025-05-16
Leather Goods Product 047,713.4,4.7,1.4,3.9,True,Aisle10,High,2025-05-17
Leather Goods Product 048,63.9,12.9,4.4,3.3,False,EconomyLane,Low,2025-05-18
Leather Goods Product 049,676.2,8.7,0.6,4.8,True,ManualStorage5,Low,2025-05-19
Leather Goods Product 050,55.5,14.0,1.9,2.7,False,ZoneD,Medium,2025-05-20
Leather Goods Product 051,421.7,9.2,3.3,2.4,False,ZoneG,Low,2025-05-21
